Name,Intro,Death,x1,y1,x2,y2,rot,offset,Id
Eon Hunter,38,80,678.22,1093.8,600,100,81,0,1
Tywin Lannister,42,77,521.78,1093.8,483.28,113.82,99,0,2
Dalla,73,76,338.75,173.68,445.49,124.47,58.5,-30,3
Harma,0,75,600,100,408.66,138.06,-90,0,4
Gregor Clegane,29,72,980.2,924.72,306.11,195.49,40.5,0,5
Oberyn Martell,38,70,678.22,1093.8,246.45,246.45,81,0,6
Quentyn Martell,6,70,827,154.5,246.45,246.45,-63,0,7
Patrek of King's Mountain,44,69,445.49,1075.5,219.8,275.28,108,0,8
Cley Cerwyn,16,66,1075.5,445.49,154.5,373,-18,0,9
Gevin Harlaw,37,66,716.72,1086.2,154.5,373,76.5,0,10
Leobald Tallhart,16,66,1075.5,445.49,154.5,373,-18,0,11
Rodrik Cassel,7,66,861.25,173.68,154.5,373,-58.5,0,12
Bryce Caron,29,65,980.2,924.72,138.06,408.66,40.5,0,13
Eddard Stark,1,65,639.23,101.54,138.06,408.66,-85.5,0,14
Drogo,3,64,716.72,113.82,124.47,445.49,-76.5,0,15
Mag Mar Tun Doh Weg,15,64,1061.9,408.66,124.47,445.49,-22.5,0,16
Daryn Hornwood,63,63,113.82,483.28,113.82,483.28,13.5,-30,17
Eddard Karstark,53,63,173.68,861.25,113.82,483.28,148.5,0,18
Torrhen Karstark,53,63,173.68,861.25,113.82,483.28,148.5,0,19
Bryan Fossoway,42,62,521.78,1093.8,106.16,521.78,99,0,20
Bryen Farring,10,62,953.55,246.45,106.16,521.78,-45,0,21
Guyard Morrigen,22,62,1093.8,678.22,106.16,521.78,9,0,22
Halys Hornwood,53,62,173.68,861.25,106.16,521.78,148.5,0,23
Dontos Hollard,57,61,113.82,716.72,101.54,560.77,166.5,0,24
Fogo,46,61,373,1045.5,101.54,560.77,117,0,25
Mandon Moore,51,61,219.8,924.72,101.54,560.77,139.5,0,26
Ogo,46,61,373,1045.5,101.54,560.77,117,0,27
Jaremy Rykker,21,60,1098.5,639.23,100,600,4.5,0,28
Joffrey Baratheon,5,60,791.34,138.06,100,600,-67.5,0,29
Dale Seaworth,10,58,953.55,246.45,106.16,678.22,-45,0,30
Maric Seaworth,10,58,953.55,246.45,106.16,678.22,-45,0,31
Matthos Seaworth,10,58,953.55,246.45,106.16,678.22,-45,0,32
Oznak zo Pahl,57,57,113.82,716.72,113.82,716.72,166.5,0,33
Yezzan Zo Qaggaz,25,57,1061.9,791.34,113.82,716.72,22.5,0,34
Gladden Wylde,43,55,483.28,1086.2,138.06,791.34,103.5,0,35
Raymun Darry,16,55,1075.5,445.49,138.06,791.34,-18,0,36
Aegon Frey (Jinglebell),49,51,275.28,980.2,219.8,924.72,130.5,0,37
Benfrey Frey,51,51,219.8,924.72,219.8,924.72,139.5,0,38
Catelyn Tully,2,51,678.22,106.16,219.8,924.72,-81,0,39
Dacey Mormont,63,51,113.82,483.28,219.8,924.72,13.5,-30,40
Donnel Locke,25,51,1061.9,791.34,219.8,924.72,22.5,0,41
Jon Umber (Smalljon),63,51,113.82,483.28,219.8,924.72,13.5,-30,42
Little Walder Frey,59,51,101.54,639.23,219.8,924.72,175.5,0,43
Lucas Blackwood,22,51,1093.8,678.22,219.8,924.72,9,0,44
Owen Norrey,51,51,219.8,924.72,219.8,924.72,139.5,0,45
Robb Stark,1,51,639.23,101.54,219.8,924.72,-85.5,0,46
Robin Flint,63,51,113.82,483.28,219.8,924.72,13.5,-30,47
Wendel Manderly,55,51,138.06,791.34,219.8,924.72,157.5,0,48
Amory Lorch,14,47,1045.5,373,338.75,1026.3,-27,0,49
Robert Baratheon,4,47,754.51,124.47,338.75,1026.3,-72,0,50
Viserys Targaryen,3,46,716.72,113.82,373,1045.5,-76.5,0,51
Leo Lefford,62,45,106.16,521.78,408.66,1061.9,9,-30,52
Raynald Westerling,14,44,1045.5,373,445.49,1075.5,-27,0,53
Ryman Frey,14,44,1045.5,373,445.49,1075.5,-27,0,54
Cortnay Penrose,31,42,924.72,980.2,521.78,1093.8,49.5,0,55
Emmon Cuy,33,42,861.25,1026.3,521.78,1093.8,58.5,0,56
Harwood Fell,17,42,1086.2,483.28,521.78,1093.8,-13.5,0,57
