Name,Intro,Death,x1,y1,x2,y2,rot,offset,Id
Dale Seaworth,10,58,953.55,246.45,106.16,678.22,-45,0,30
Maric Seaworth,10,58,953.55,246.45,106.16,678.22,-45,0,31
Matthos Seaworth,10,58,953.55,246.45,106.16,678.22,-45,0,32
Oznak zo Pahl,57,57,113.82,716.72,113.82,716.72,166.5,0,33
Yezzan Zo Qaggaz,25,57,1061.9,791.34,113.82,716.72,22.5,0,34
Gladden Wylde,43,55,483.28,1086.2,138.06,791.34,103.5,0,35
Raymun Darry,16,55,1075.5,445.49,138.06,791.34,-18,0,36
Aegon Frey (Jinglebell),49,51,275.28,980.2,219.8,924.72,130.5,0,37
Benfrey Frey,51,51,219.8,924.72,219.8,924.72,139.5,0,38
Catelyn Tully,2,51,678.22,106.16,219.8,924.72,-81,0,39
Dacey Mormont,63,51,113.82,483.28,219.8,924.72,13.5,-30,40
Donnel Locke,25,51,1061.9,791.34,219.8,924.72,22.5,0,41
Jon Umber (Smalljon),63,51,113.82,483.28,219.8,924.72,13.5,-30,42
Little Walder Frey,59,51,101.54,639.23,219.8,924.72,175.5,0,43
Lucas Blackwood,22,51,1093.8,678.22,219.8,924.72,9,0,44
Owen Norrey,51,51,219.8,924.72,219.8,924.72,139.5,0,45
Robb Stark,1,51,639.23,101.54,219.8,924.72,-85.5,0,46
Robin Flint,63,51,113.82,483.28,219.8,924.72,13.5,-30,47
Wendel Manderly,55,51,138.06,791.34,219.8,924.72,157.5,0,48
Amory Lorch,14,47,1045.5,373,338.75,1026.3,-27,0,49
Robert Baratheon,4,47,754.51,124.47,338.75,1026.3,-72,0,50
Viserys Targaryen,3,46,716.72,113.82,373,1045.5,-76.5,0,51
Leo Lefford,62,45,106.16,521.78,408.66,1061.9,9,-30,52
Raynald Westerling,14,44,1045.5,373,445.49,1075.5,-27,0,53
Ryman Frey,14,44,1045.5,373,445.49,1075.5,-27,0,54
Cortnay Penrose,31,42,924.72,980.2,521.78,1093.8,49.5,0,55
Emmon Cuy,33,42,861.25,1026.3,521.78,1093.8,58.5,0,56
Harwood Fell,17,42,1086.2,483.28,521.78,1093.8,-13.5,0,57
Hyle Hunt,14,42,1045.5,373,521.78,1093.8,-27,0,58
Aron Santagar,18,41,1093.8,521.78,560.77,1098.5,-9,0,59
Tyrek Lannister,30,41,953.55,953.55,560.77,1098.5,45,0,60
